"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 03- 01","39,087.38","38,989.51","39,120.36","38,850.50","331.03M","0.23%"
"2024- 02- 29","38,996.39","39,013.75","39,074.13","38,809.28","521.77M","0.12%"
"2024- 02- 28","38,949.02","38,938.08","38,956.46","38,741.68","272.56M","-0.06%"
"2024- 02- 27","38,972.41","39,087.90","39,087.90","38,881.90","274.82M","-0.25%"
"2024- 02- 26","39,069.23","39,144.79","39,245.89","39,025.80","296.93M","-0.16%"
"2024- 02- 23","39,131.53","39,127.97","39,282.28","39,094.36","292.06M","0.16%"
"2024- 02- 22","39,069.11","38,845.19","39,149.61","38,802.07","330.54M","1.18%"
"2024- 02- 21","38,612.24","38,483.66","38,618.03","38,338.58","284.37M","0.13%"
"2024- 02- 20","38,563.80","38,576.26","38,663.09","38,460.20","340.37M","-0.17%"
"2024- 02- 16","38,627.99","38,751.71","38,825.03","38,583.24","282.22M","-0.37%"
"2024- 02- 15","38,773.12","38,397.94","38,781.89","38,397.94","310.71M","0.91%"
"2024- 02- 14","38,424.27","38,372.67","38,442.56","38,194.62","283.06M","0.40%"
"2024- 02- 13","38,272.75","38,699.17","38,699.17","38,039.86","322.66M","-1.35%"
"2024- 02- 12","38,797.38","38,656.76","38,927.08","38,628.92","276.83M","0.33%"
"2024- 02- 09","38,671.69","38,731.97","38,734.28","38,567.90","302.40M","-0.14%"
"2024- 02- 08","38,726.33","38,702.11","38,755.68","38,544.36","317.40M","0.13%"
"2024- 02- 07","38,677.36","38,613.89","38,748.11","38,571.01","305.19M","0.40%"
"2024- 02- 06","38,521.36","38,392.90","38,545.28","38,350.46","278.50M","0.37%"
"2024- 02- 05","38,380.12","38,546.77","38,633.88","38,220.40","324.32M","-0.71%"
"2024- 02- 02","38,654.42","38,448.10","38,783.62","38,336.57","384.22M","0.35%"
"2024- 02- 01","38,519.84","38,175.34","38,522.50","38,106.84","330.89M","0.97%"
"2024- 01- 31","38,150.30","38,426.78","38,588.86","38,139.66","456.22M","-0.82%"
"2024- 01- 30","38,467.31","38,298.23","38,497.39","38,257.80","332.93M","0.35%"
"2024- 01- 29","38,333.45","38,115.83","38,343.93","38,061.17","314.95M","0.59%"
"2024- 01- 26","38,109.43","38,006.68","38,215.31","37,997.77","388.69M","0.16%"
"2024- 01- 25","38,049.13","37,862.57","38,057.53","37,796.47","402.98M","0.64%"
"2024- 01- 24","37,806.39","37,975.37","38,064.22","37,795.71","339.42M","-0.26%"
"2024- 01- 23","37,905.45","37,959.79","37,980.73","37,804.99","337.32M","-0.25%"
"2024- 01- 22","38,001.81","37,919.55","38,109.20","37,911.61","342.50M","0.36%"
"2024- 01- 19","37,863.80","37,572.50","37,933.73","37,451.71","380.30M","1.05%"
"2024- 01- 18","37,468.61","37,300.81","37,522.29","37,122.95","340.63M","0.54%"
"2024- 01- 17","37,266.67","37,281.86","37,371.66","37,132.89","290.88M","-0.25%"
"2024- 01- 16","37,361.12","37,493.54","37,543.18","37,201.39","379.98M","-0.62%"
"2024- 01- 12","37,592.98","37,818.05","37,825.27","37,470.19","279.26M","-0.31%"
"2024- 01- 11","37,711.02","37,747.14","37,801.90","37,424.28","305.80M","0.04%"
"2024- 01- 10","37,695.73","37,552.91","37,740.77","37,524.40","279.54M","0.45%"
"2024- 01- 09","37,525.16","37,523.55","37,552.38","37,373.30","293.23M","-0.42%"
"2024- 01- 08","37,683.01","37,327.37","37,692.92","37,249.24","362.20M","0.58%"
"2024- 01- 05","37,466.11","37,455.46","37,623.62","37,323.82","299.49M","0.07%"
"2024- 01- 04","37,440.34","37,425.28","37,716.41","37,425.28","380.22M","0.03%"
"2024- 01- 03","37,430.19","37,629.23","37,629.23","37,401.85","329.14M","-0.76%"
"2024- 01- 02","37,715.04","37,566.22","37,790.08","37,495.91","350.29M","0.07%"
"2023- 12- 29","37,689.54","37,701.63","37,759.43","37,538.80","236.60M","-0.05%"
