"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 01- 10","86,500","85,500","87,200","85,000","3.09M","0.58%"
"2023- 01- 09","86,000","84,900","86,000","83,500","3.94M","3.49%"
"2023- 01- 08","83,100","83,100","83,100","83,100","","0.00%"
"2023- 01- 06","83,100","81,400","83,600","81,100","3.68M","2.09%"
"2023- 01- 05","81,400","83,300","83,300","80,800","3.38M","0.49%"
"2023- 01- 04","81,000","75,400","81,900","75,200","5.14M","7.14%"
"2023- 01- 03","75,600","75,600","76,300","73,100","2.71M","-0.13%"
"2023- 01- 02","75,700","75,100","76,700","75,000","1.37M","0.93%"
"2022- 12- 29","75,000","75,200","75,600","74,700","1.70M","-1.32%"
"2022- 12- 28","76,000","76,800","77,000","75,400","1.87M","-1.30%"
"2022- 12- 27","77,000","77,500","77,600","76,500","1.68M","0.00%"
"2022- 12- 26","77,000","77,700","77,700","76,500","1.41M","-1.03%"
"2022- 12- 25","77,800","77,800","77,800","77,800","","0.00%"
"2022- 12- 23","77,800","77,800","78,300","77,300","1.54M","-1.77%"
"2022- 12- 22","79,200","78,500","79,300","77,900","2.06M","1.54%"
"2022- 12- 21","78,000","78,500","79,200","78,000","1.50M","-0.38%"
"2022- 12- 20","78,300","78,200","78,900","77,800","1.34M","-0.89%"
"2022- 12- 19","79,000","78,300","80,100","78,300","1.81M","0.77%"
"2022- 12- 18","78,400","78,400","78,400","78,400","","0.00%"
"2022- 12- 16","78,400","77,700","79,400","77,500","3.68M","-2.24%"
"2022- 12- 15","80,200","80,600","81,100","79,900","1.69M","-1.96%"
"2022- 12- 14","81,800","82,100","82,600","81,100","2.17M","-0.61%"
"2022- 12- 13","82,300","81,300","82,700","80,500","2.35M","1.48%"
"2022- 12- 12","81,100","80,100","81,300","79,500","1.23M","-0.49%"
"2022- 12- 11","81,500","81,500","81,500","81,500","","0.00%"
"2022- 12- 09","81,500","79,400","81,500","79,300","2.97M","3.43%"
"2022- 12- 08","78,800","78,200","79,800","78,200","3.77M","-0.13%"
"2022- 12- 07","78,900","79,900","80,700","78,700","3.55M","-2.59%"
"2022- 12- 06","81,000","79,900","81,100","79,800","2.67M","0.00%"
"2022- 12- 05","81,000","81,900","82,300","80,700","3.47M","-1.10%"
"2022- 12- 04","81,900","81,900","81,900","81,900","","0.00%"
"2022- 12- 02","81,900","83,900","83,900","81,800","4.41M","-3.31%"
"2022- 12- 01","84,700","87,300","87,300","84,600","2.87M","-0.35%"
"2022- 11- 30","85,000","83,200","85,400","83,100","3.28M","1.55%"
"2022- 11- 29","83,700","82,700","83,800","82,100","1.50M","0.72%"
"2022- 11- 28","83,100","84,100","84,200","82,900","2.47M","-2.35%"
"2022- 11- 27","85,100","85,100","85,100","85,100","","0.00%"
"2022- 11- 25","85,100","87,200","87,300","85,100","1.43M","-2.07%"
"2022- 11- 24","86,900","86,900","87,200","85,700","1.65M","2.00%"
"2022- 11- 23","85,200","86,100","86,700","84,900","1.47M","0.00%"
"2022- 11- 22","85,200","85,500","86,600","84,900","1.60M","-1.27%"
"2022- 11- 21","86,300","87,600","87,700","86,100","2.09M","-2.38%"
"2022- 11- 20","88,400","88,400","88,400","88,400","","0.00%"
"2022- 11- 18","88,400","88,700","91,500","88,100","2.85M","0.80%"
"2022- 11- 17","87,700","82,400","88,500","82,000","3.70M","-4.15%"
"2022- 11- 16","91,500","92,000","92,400","90,300","2.31M","-0.11%"
"2022- 11- 15","91,600","91,300","92,100","90,400","2.45M","0.77%"
"2022- 11- 14","90,900","93,900","93,900","90,900","2.47M","-2.78%"
"2022- 11- 13","93,500","93,500","93,500","93,500","","0.00%"
"2022- 11- 11","93,500","95,200","95,300","92,500","4.91M","4.94%"
"2022- 11- 10","89,100","89,000","90,800","88,300","3.34M","-0.11%"
"2022- 11- 09","89,200","88,100","89,200","86,600","2.61M","1.71%"
"2022- 11- 08","87,700","87,600","89,000","87,400","2.79M","1.39%"
"2022- 11- 07","86,500","85,400","86,800","85,000","2.74M","2.37%"
"2022- 11- 06","84,500","84,500","84,500","84,500","","0.00%"
"2022- 11- 04","84,500","82,700","84,600","81,700","3.02M","2.18%"
"2022- 11- 03","82,700","82,600","83,500","81,900","2.89M","-2.13%"
"2022- 11- 02","84,500","84,200","85,500","83,600","2.51M","0.72%"
"2022- 11- 01","83,900","82,700","83,900","81,400","3.71M","1.45%"
"2022- 10- 31","82,700","84,300","85,400","82,400","6.19M","-0.84%"
"2022- 10- 30","83,400","83,400","83,400","83,400","","0.00%"
"2022- 10- 28","83,400","87,100","87,800","83,000","7.59M","-7.33%"
"2022- 10- 27","90,000","95,100","95,100","89,800","4.53M","-4.15%"
"2022- 10- 26","93,900","93,300","95,500","93,200","3.29M","0.43%"
"2022- 10- 25","93,500","91,900","94,800","91,000","2.65M","1.85%"
"2022- 10- 24","91,800","92,200","93,100","91,200","2.16M","1.44%"
"2022- 10- 23","90,500","90,500","90,500","90,500","","0.00%"
"2022- 10- 21","90,500","89,800","91,400","89,700","2.20M","0.33%"
"2022- 10- 20","90,200","91,000","91,800","89,000","4.49M","-2.91%"
"2022- 10- 19","92,900","94,700","94,900","92,700","3.60M","-3.03%"
"2022- 10- 18","95,800","95,900","96,200","94,600","2.59M","0.63%"
"2022- 10- 17","95,200","94,600","95,300","94,000","1.93M","-0.31%"
